branch	metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	se	lower	upper	p_OLS	se_HC3	lower_HC3	upper_HC3	p_HC3	p_exact_permutation	df	permutation_assignments	BH_two_main
author_annotated::all_fixed::threshold10	delta_ct_logit_epi	19	6	13	-0.13880709601311528	0.04942650881638537	-0.18823360482950063	0.26898491030602517	-0.7557421587952498	0.37927494913624843	0.4935225799597306	0.29924007494103166	-0.8195749764520981	0.44310776679309677	0.5376854534406551	0.49026979212737726	17	27132	
author_annotated::all_fixed::threshold10	delta_ct_logit_all	19	6	13	0.6411601147019039	-0.21368554846261537	0.8548456631645193	0.47390637272335606	-0.14500938444169886	1.8547007107707374	0.08900789632686772	0.511777686800761	-0.22491087283522593	1.9346021991642646	0.11315817212367368	0.0896358543417367	17	27132	
author_annotated::all_fixed::threshold10	delta_ct_state_score	18	6	12	1.7682529633038904	-0.12661828926342902	1.8948712525673195	0.9569564396654323	-0.1337857750033351	3.9235282801379743	0.06515750340266928	0.8264242998891992	0.14292999982699084	3.646812505307648	0.03574384516931763	0.063887093298858	16	18564	
author_annotated::all_fixed::threshold10	delta_epi_score	19	6	13	1.187946799018172	-0.16593047075980655	1.3538772697779786	0.7646966754306818	-0.2594916883630207	2.967246227918978	0.09457684447463217	0.5881323047777266	0.11302657133091976	2.5947279682250377	0.03425038197369282	0.0944641014300457	17	27132	
author_annotated::all_fixed::threshold10	composition_contribution	18	6	12	-0.10767547275260365	0.12593560103064427	-0.2336110737832479	0.13826131734555364	-0.5267119731013986	0.059489825534902785	0.11048533430842002	0.13186443058463213	-0.5131511789584029	0.045929031391907016	0.0955027017127142	0.10929756517991812	16	18564	
author_annotated::all_fixed::threshold10	within_state_contribution	18	6	12	0.6905227643292752	-0.265562858733582	0.9560856230628572	0.5624234961087557	-0.23619892674463872	2.148370172870353	0.10849602744706151	0.4881031468701906	-0.0786468245538301	1.9908180706795444	0.06780460588462232	0.10805860805860806	16	18564	
author_annotated::all_fixed::threshold10	total_epi_linear_change	18	6	12	0.5828472915766717	-0.13962725770293768	0.7224745492796094	0.6350910559864009	-0.6238583457939844	2.068807444353203	0.2720403180324425	0.5451872909782056	-0.43327087793316865	1.8782199764923875	0.20372312085776978	0.2700387847446671	16	18564	
author_annotated::all_fixed::threshold20	delta_ct_logit_epi	19	6	13	-0.13880709601311528	0.04942650881638537	-0.18823360482950063	0.26898491030602517	-0.7557421587952498	0.37927494913624843	0.4935225799597306	0.29924007494103166	-0.8195749764520981	0.44310776679309677	0.5376854534406551	0.49026979212737726	17	27132	
author_annotated::all_fixed::threshold20	delta_ct_logit_all	19	6	13	0.6411601147019039	-0.21368554846261537	0.8548456631645193	0.47390637272335606	-0.14500938444169886	1.8547007107707374	0.08900789632686772	0.511777686800761	-0.22491087283522593	1.9346021991642646	0.11315817212367368	0.0896358543417367	17	27132	
author_annotated::all_fixed::threshold20	delta_ct_state_score	16	6	10	1.7682529633038904	-0.7880342525793814	2.556287215883272	0.6009176020630962	1.2674471424428548	3.845127289323689	0.0008019419302361891	0.638053286160417	1.1877990215442003	3.9247754102223436	0.0012996756044911313	0.0004995004995004995	14	8008	
author_annotated::all_fixed::threshold20	delta_epi_score	19	6	13	1.187946799018172	-0.16593047075980655	1.3538772697779786	0.7646966754306818	-0.2594916883630207	2.967246227918978	0.09457684447463217	0.5881323047777266	0.11302657133091976	2.5947279682250377	0.03425038197369282	0.0944641014300457	17	27132	
author_annotated::all_fixed::threshold20	composition_contribution	16	6	10	-0.10767547275260365	0.03376339035454952	-0.14143886310715317	0.1828057314964545	-0.5335181624958252	0.2506404362815188	0.45196931226948667	0.16733530858862966	-0.5003374053866638	0.2174596791723575	0.41218859502336325	0.46403596403596403	14	8008	
