program	model	method	estimate	se	lower	upper	p	n	df	rank	standardized_condition	max_VIF	max_leverage	BH_across_three_descriptive
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	reference_descriptive	OLS	0.627215215447123	0.230014339443342	0.145789670133371	1.10864076076088	0.0133896199376919	23	19	4	2.07026051161196	1.62897943943079	0.422563849621053	0.0144049690935637
UC_IA13_JAKSTAT_2024_gene_mean_proxy	reference_descriptive	OLS	-0.883411885493236	0.237355038394783	-1.38020169028852	-0.386622080697947	0.00144572401594924	23	19	4	1.55244006288858	1.1852292106064	0.398611464864989	0.00433717204784772
HALLMARK_OXIDATIVE_PHOSPHORYLATION	reference_descriptive	OLS	0.156397941484631	0.058075641292762	0.0348442272836916	0.27795165568557	0.0144049690935637	23	19	4	2.9401243851825	2.67921477600849	0.365425612931103	0.0144049690935637
