set	contrast	estimate	se	lower	upper	p
HALLMARK_ADIPOGENESIS	Placebo_within_change	0.0609180893951036	0.0249653363578183	0.00914315069145916	0.112693028098748	0.0231995160949259
HALLMARK_ADIPOGENESIS	Placebo_response_difference	0.0123310975495009	0.0535832925810807	-0.0991014595482084	0.12376365464721	0.820218035695692
HALLMARK_ADIPOGENESIS	golimumab_within_change	0.0127926807484162	0.021030553690705	-0.0296793840610296	0.055264745557862	0.546350275376068
HALLMARK_ADIPOGENESIS	golimumab_response_difference	0.0576025950897971	0.0420498768141066	-0.0273833761046041	0.142588566284198	0.178370469214285
HALLMARK_ADIPOGENESIS	GLM_minus_Placebo	-0.0481254086466874	0.0326427971840133	-0.113670406229792	0.0174195889364167	0.146591802441826
HALLMARK_ADIPOGENESIS	pooled_response_arm_adjusted	0.0423669949560436	0.0330381379101982	-0.0236753017022634	0.108409291614351	0.20448819055645
HALLMARK_ADIPOGENESIS	arm_response_interaction	0.0452714975402961	0.0702502568727615	-0.0952025729544307	0.185745568035023	0.521711545296842
HALLMARK_ALLOGRAFT_REJECTION	Placebo_within_change	-0.115813235724018	0.0472209262307684	-0.213743442875492	-0.017883028572545	0.02258095532812
HALLMARK_ALLOGRAFT_REJECTION	Placebo_response_difference	-0.0379431482566816	0.10114000049186	-0.248275293535318	0.172388997021955	0.711307718684725
HALLMARK_ALLOGRAFT_REJECTION	golimumab_within_change	-0.152346136471113	0.0404470828775274	-0.234030677477117	-0.0706615954651083	0.000520896231628455
HALLMARK_ALLOGRAFT_REJECTION	golimumab_response_difference	-0.180926538088455	0.0776456129234879	-0.337854175533363	-0.0239989006435467	0.0249285451115845
HALLMARK_ALLOGRAFT_REJECTION	GLM_minus_Placebo	-0.0365329007470943	0.0621754162623238	-0.161337225498268	0.0882714240040792	0.559392970892445
HALLMARK_ALLOGRAFT_REJECTION	pooled_response_arm_adjusted	-0.132807128048916	0.0618080506381532	-0.256359660797941	-0.00925459529989073	0.0355710072798162
HALLMARK_ALLOGRAFT_REJECTION	arm_response_interaction	-0.142983389831773	0.130594505295313	-0.404123242691027	0.11815646302748	0.277879947660737
HALLMARK_ANDROGEN_RESPONSE	Placebo_within_change	0.0261120286686103	0.0239494802696841	-0.0235561534529865	0.0757802107902071	0.287381044560035
HALLMARK_ANDROGEN_RESPONSE	Placebo_response_difference	-0.0468357495545837	0.050442744836829	-0.151737180083319	0.0580656809741515	0.363701882577178
HALLMARK_ANDROGEN_RESPONSE	golimumab_within_change	0.00934158779328057	0.0187579997678035	-0.0285409612613284	0.0472241368478896	0.621141000199838
HALLMARK_ANDROGEN_RESPONSE	golimumab_response_difference	0.0359154562648472	0.0379531738239946	-0.0407907693348446	0.112621681864539	0.349672502802343
HALLMARK_ANDROGEN_RESPONSE	GLM_minus_Placebo	-0.0167704408753297	0.0304210479845272	-0.0779476918764993	0.0444068101258398	0.584019407178995
HALLMARK_ANDROGEN_RESPONSE	pooled_response_arm_adjusted	0.00806649276792332	0.0305167004474046	-0.0529355222202782	0.0690685077561248	0.792402015120013
HALLMARK_ANDROGEN_RESPONSE	arm_response_interaction	0.0827512058194308	0.0642414771229438	-0.0457075669705204	0.211209978609382	0.20256654244366
HALLMARK_ANGIOGENESIS	Placebo_within_change	-0.0593077680009202	0.0337623642008783	-0.129326625825889	0.0107110898240483	0.0928939119229187
HALLMARK_ANGIOGENESIS	Placebo_response_difference	-0.10213932997134	0.0690474615649086	-0.245731386985027	0.0414527270423461	0.15391545037089
HALLMARK_ANGIOGENESIS	golimumab_within_change	-0.0780372093096498	0.0336521902593433	-0.145999186283482	-0.0100752323358178	0.0254605061656467
HALLMARK_ANGIOGENESIS	golimumab_response_difference	-0.0865157284318048	0.067473951648215	-0.222885671594727	0.0498542147311179	0.20715084555565
HALLMARK_ANGIOGENESIS	GLM_minus_Placebo	-0.0187294413087296	0.0476693522683473	-0.114180006859359	0.0767211242418993	0.695852569956142
