program	model	method	estimate	se	lower	upper	p	n	df	rank	standardized_condition	max_VIF	max_leverage
MATURE_COLONOCYTE6_EXPLORATORY	adjusted_support	OLS	1.19469104375607	0.330612664120911	0.502710785058991	1.88667130245316	0.00185042898413587	23	19	4	1.76273135175746	1.35149673343787	0.523166502480459
MATURE_COLONOCYTE6_EXPLORATORY	adjusted_support	HC3	1.19469104375607	0.298619435688865	0.569673381745444	1.8197087057667	0.000764943217130073	23	19	4	1.76273135175746	1.35149673343787	0.523166502480459
MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_baseline	OLS	0.826709705508393	0.339033609558445	0.119497988574869	1.53392142244192	0.024203394700693	23	20	3	1.37247947855623	1.1036425094892	0.257928868886699
MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_baseline	HC3	0.826709705508393	0.392629891972998	0.00769810254877412	1.64572130846801	0.0480786547614368	23	20	3	1.37247947855623	1.1036425094892	0.257928868886699
MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_inflammation	OLS	1.59410273775317	0.428854501399218	0.699527923638977	2.48867755186737	0.00136182370034478	23	20	3	1.60334740350185	1.23992963424288	0.342875116038876
MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_inflammation	HC3	1.59410273775317	0.462442921191217	0.629463707701445	2.5587417678049	0.00254843871748409	23	20	3	1.60334740350185	1.23992963424288	0.342875116038876
