branch	contrast	gene	estimate_independent	estimate_exported	residual_sd_independent	residual_sd_fit	p_from_stored_moderated_variance	p_exported
primary_paired	GLM_change	A1BG	-0.166169047619048	-0.166169047619048	0.361442242898312	0.361442242898312	0.00376085974450894	0.00376085974450894
primary_paired	GLM_change	C1orf111	0.007797619047619	0.007797619047619	0.244299394269386	0.244299394269386	0.839428162081455	0.839428162081455
primary_paired	GLM_change	CTNNA2	0.0525309523809524	0.0525309523809524	0.351330391225757	0.351330391225757	0.332867039657667	0.332867039657667
primary_paired	GLM_change	FDXR	-0.153697619047619	-0.153697619047619	0.418788893837296	0.418788893837296	0.0187129820539723	0.0187129820539723
primary_paired	GLM_change	IFT88	-0.00759047619047627	-0.00759047619047627	0.384808619218299	0.384808619218299	0.897621325720165	0.897621325720165
primary_paired	GLM_change	LOC100130429	-0.00642380952380936	-0.00642380952380936	0.463431435011464	0.463431435011464	0.927537375968934	0.927537375968934
primary_paired	GLM_change	MALSU1	-0.00550416666666665	-0.00550416666666665	0.238348232124345	0.238348232124345	0.883699036012225	0.883699036012225
primary_paired	GLM_change	OR10A5	-0.0209547619047619	-0.0209547619047619	0.313955558447123	0.313955558447123	0.66639193751324	0.66639193751324
primary_paired	GLM_change	RAB9A	0.0253666666666668	0.0253666666666668	0.589053301925876	0.589053301925876	0.776518959819554	0.776518959819554
primary_paired	GLM_change	SMG1	0.0456511904761904	0.0456511904761904	0.690598988167263	0.690598988167263	0.662465723588774	0.662465723588774
primary_paired	GLM_change	TRAPPC6B	0.0536428571428572	0.0536428571428572	0.320884194485073	0.320884194485073	0.281448281333911	0.281448281333911
primary_paired	GLM_change	ZZZ3	0.139995238095238	0.139995238095238	0.267540662187005	0.267540662187005	0.00129204959635068	0.00129204959635068
primary_paired	Placebo_change	A1BG	-0.0860347826086957	-0.0860347826086957	0.361442242898312	0.361442242898312	0.254026942924499	0.254026942924499
primary_paired	Placebo_change	C1orf111	-0.0722608695652175	-0.0722608695652175	0.244299394269386	0.244299394269386	0.167641671565016	0.167641671565016
primary_paired	Placebo_change	CTNNA2	-0.031404347826087	-0.031404347826087	0.351330391225757	0.351330391225757	0.667473681632638	0.667473681632638
primary_paired	Placebo_change	FDXR	-0.0455782608695653	-0.0455782608695653	0.418788893837296	0.418788893837296	0.598646981826191	0.598646981826191
primary_paired	Placebo_change	IFT88	0.140895652173913	0.140895652173913	0.384808619218299	0.384808619218299	0.0805988640618191	0.0805988640618191
primary_paired	Placebo_change	LOC100130429	0.0645869565217392	0.0645869565217392	0.463431435011464	0.463431435011464	0.499353208909537	0.499353208909537
primary_paired	Placebo_change	MALSU1	0.0367141304347827	0.0367141304347827	0.238348232124345	0.238348232124345	0.471091857068755	0.471091857068755
primary_paired	Placebo_change	OR10A5	-0.0925608695652175	-0.0925608695652175	0.313955558447123	0.313955558447123	0.161580351659875	0.161580351659875
primary_paired	Placebo_change	RAB9A	0.155360869565217	0.155360869565217	0.589053301925876	0.589053301925876	0.200898305455553	0.200898305455553
primary_paired	Placebo_change	SMG1	0.00185217391304363	0.00185217391304363	0.690598988167263	0.690598988167263	0.989535857341223	0.989535857341223
primary_paired	Placebo_change	TRAPPC6B	0.0315652173913043	0.0315652173913043	0.320884194485073	0.320884194485073	0.637874885747987	0.637874885747987
primary_paired	Placebo_change	ZZZ3	0.0847282608695651	0.0847282608695651	0.267540662187005	0.267540662187005	0.137098708071883	0.137098708071883
primary_paired	GLM_minus_Placebo	A1BG	-0.0801342650103518	-0.0801342650103518	0.361442242898312	0.361442242898312	0.392092666981406	0.392092666981406
primary_paired	GLM_minus_Placebo	C1orf111	0.0800584886128365	0.0800584886128365	0.244299394269386	0.244299394269386	0.21845450927776	0.21845450927776
primary_paired	GLM_minus_Placebo	CTNNA2	0.0839353002070393	0.0839353002070393	0.351330391225757	0.351330391225757	0.357206271417818	0.357206271417818
primary_paired	GLM_minus_Placebo	FDXR	-0.108119358178054	-0.108119358178054	0.418788893837296	0.418788893837296	0.316866593390015	0.316866593390015
primary_paired	GLM_minus_Placebo	IFT88	-0.14848612836439	-0.14848612836439	0.384808619218299	0.384808619218299	0.137567397614611	0.137567397614611
primary_paired	GLM_minus_Placebo	LOC100130429	-0.0710107660455486	-0.0710107660455486	0.463431435011464	0.463431435011464	0.550354530051668	0.550354530051668
primary_paired	GLM_minus_Placebo	MALSU1	-0.0422182971014493	-0.0422182971014493	0.238348232124345	0.238348232124345	0.505174641018612	0.505174641018612
primary_paired	GLM_minus_Placebo	OR10A5	0.0716061076604555	0.0716061076604555	0.313955558447123	0.313955558447123	0.381900541403087	0.381900541403087
primary_paired	GLM_minus_Placebo	RAB9A	-0.12999420289855	-0.12999420289855	0.589053301925876	0.589053301925876	0.388060397431479	0.388060397431478
primary_paired	GLM_minus_Placebo	SMG1	0.0437990165631468	0.0437990165631468	0.690598988167263	0.690598988167263	0.803171808919451	0.803171808919451
primary_paired	GLM_minus_Placebo	TRAPPC6B	0.0220776397515529	0.0220776397515529	0.320884194485073	0.320884194485073	0.791182279454777	0.791182279454777
primary_paired	GLM_minus_Placebo	ZZZ3	0.0552669772256729	0.0552669772256729	0.267540662187005	0.267540662187005	0.432909942359212	0.432909942359212
primary_paired	GLM_response_difference	A1BG	-0.166720833333333	-0.166720833333333	0.360791684722677	0.360791684722677	0.140042609037415	0.140042609037415
primary_paired	GLM_response_difference	C1orf111	0.167859722222222	0.167859722222222	0.237656137483372	0.237656137483372	0.0299081688713829	0.029908168871383
primary_paired	GLM_response_difference	CTNNA2	-0.0257000000000001	-0.0257000000000001	0.356803293477427	0.356803293477427	0.816687752767909	0.816687752767909
primary_paired	GLM_response_difference	FDXR	-0.179740277777778	-0.179740277777778	0.417410846345217	0.417410846345217	0.166316151530242	0.166316151530242
primary_paired	GLM_response_difference	IFT88	0.0771916666666666	0.0771916666666666	0.388570031589485	0.388570031589485	0.521726773774488	0.521726773774488
primary_paired	GLM_response_difference	LOC100130429	-0.012826388888889	-0.012826388888889	0.46938239048533	0.46938239048533	0.929242549039435	0.929242549039435
primary_paired	GLM_response_difference	MALSU1	-0.039829513888889	-0.039829513888889	0.239228198147632	0.239228198147632	0.602297809057965	0.602297809057965
primary_paired	GLM_response_difference	OR10A5	-0.0576513888888889	-0.0576513888888889	0.315851389711948	0.315851389711948	0.55976312994481	0.55976312994481
primary_paired	GLM_response_difference	RAB9A	0.0703208333333336	0.0703208333333336	0.594413145883092	0.594413145883092	0.699396926129226	0.699396926129226
primary_paired	GLM_response_difference	SMG1	0.359952777777778	0.359952777777778	0.68502547270389	0.68502547270389	0.0890713514682285	0.0890713514682285
primary_paired	GLM_response_difference	TRAPPC6B	0.0344430555555554	0.0344430555555554	0.325439986420514	0.325439986420514	0.734607438334907	0.734607438334907
primary_paired	GLM_response_difference	ZZZ3	-0.000985416666666461	-0.000985416666666461	0.271734351905431	0.271734351905431	0.990834644142142	0.990834644142142
primary_paired	Placebo_response_difference	A1BG	-0.0278341666666666	-0.0278341666666666	0.360791684722677	0.360791684722677	0.859562377496387	0.859562377496387
primary_paired	Placebo_response_difference	C1orf111	0.0690166666666666	0.0690166666666666	0.237656137483372	0.237656137483372	0.517907729023941	0.517907729023941
primary_paired	Placebo_response_difference	CTNNA2	-0.0265008333333333	-0.0265008333333333	0.356803293477427	0.356803293477427	0.864808154908773	0.864808154908773
primary_paired	Placebo_response_difference	FDXR	0.130434166666666	0.130434166666666	0.417410846345217	0.417410846345217	0.471966385027965	0.471966385027965
primary_paired	Placebo_response_difference	IFT88	0.104905833333333	0.104905833333333	0.388570031589485	0.388570031589485	0.535130154611981	0.535130154611981
primary_paired	Placebo_response_difference	LOC100130429	-0.130773333333333	-0.130773333333333	0.46938239048533	0.46938239048533	0.519714721282355	0.519714721282355
primary_paired	Placebo_response_difference	MALSU1	0.117201666666667	0.117201666666667	0.239228198147632	0.239228198147632	0.276495259180435	0.276495259180435
primary_paired	Placebo_response_difference	OR10A5	0.131423333333333	0.131423333333333	0.315851389711948	0.315851389711948	0.344747705421193	0.344747705421193
primary_paired	Placebo_response_difference	RAB9A	-0.221583333333333	-0.221583333333333	0.594413145883092	0.594413145883092	0.387284386231928	0.387284386231928
primary_paired	Placebo_response_difference	SMG1	-0.130509166666667	-0.130509166666667	0.68502547270389	0.68502547270389	0.65725532240157	0.65725532240157
primary_paired	Placebo_response_difference	TRAPPC6B	0.0520141666666668	0.0520141666666668	0.325439986420514	0.325439986420514	0.715418775649484	0.715418775649484
primary_paired	Placebo_response_difference	ZZZ3	-0.0315437500000002	-0.0315437500000002	0.271734351905431	0.271734351905431	0.793458504488795	0.793458504488795
primary_paired	response_difference_interaction	A1BG	-0.138886666666667	-0.138886666666667	0.360791684722677	0.360791684722677	0.47290609541461	0.47290609541461
primary_paired	response_difference_interaction	C1orf111	0.0988430555555557	0.0988430555555557	0.237656137483372	0.237656137483372	0.450959958549871	0.450959958549871
primary_paired	response_difference_interaction	CTNNA2	0.00080083333333316	0.00080083333333316	0.356803293477427	0.356803293477427	0.99665587363886	0.99665587363886
primary_paired	response_difference_interaction	FDXR	-0.310174444444444	-0.310174444444444	0.417410846345217	0.417410846345217	0.165856912954044	0.165856912954044
primary_paired	response_difference_interaction	IFT88	-0.0277141666666669	-0.0277141666666669	0.388570031589485	0.388570031589485	0.893682446883654	0.893682446883654
primary_paired	response_difference_interaction	LOC100130429	0.117946944444444	0.117946944444444	0.46938239048533	0.46938239048533	0.635998220459065	0.635998220459065
primary_paired	response_difference_interaction	MALSU1	-0.157031180555556	-0.157031180555556	0.239228198147632	0.239228198147632	0.235388802633833	0.235388802633833
primary_paired	response_difference_interaction	OR10A5	-0.189074722222222	-0.189074722222222	0.315851389711948	0.315851389711948	0.268828167975752	0.268828167975752
primary_paired	response_difference_interaction	RAB9A	0.291904166666667	0.291904166666667	0.594413145883092	0.594413145883092	0.353779267169333	0.353779267169333
primary_paired	response_difference_interaction	SMG1	0.490461944444444	0.490461944444444	0.68502547270389	0.68502547270389	0.177128382020121	0.177128382020121
primary_paired	response_difference_interaction	TRAPPC6B	-0.0175711111111114	-0.0175711111111114	0.325439986420514	0.325439986420514	0.920052168809564	0.920052168809564
