program	model	estimate	se	lower	upper	p	n	df	rank	raw_condition	standardized_condition	max_VIF	max_leverage	FDR_across_three
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	secondary_baseline_inflammation	0.145425516415932	0.21938328243724	-0.305523278979918	0.596374311811782	0.513239631695279	32	26	6	208.60983184234	2.64433789555958	2.16685131835519	0.531769871917967	0.643486366619926
UC_IA13_JAKSTAT_2024_gene_mean_proxy	secondary_baseline_inflammation	-0.309249331467483	0.306431186653216	-0.939127656551438	0.320628993616472	0.322180681697018	32	26	6	225.030144057726	2.42819606532872	1.81088421749258	0.53993545107944	0.643486366619926
HALLMARK_OXIDATIVE_PHOSPHORYLATION	secondary_baseline_inflammation	0.020072216673351	0.042863694227449	-0.0680353686601569	0.108179802006859	0.643486366619926	32	26	6	810.6542681035	2.57067247246386	1.92778478053988	0.508355794586625	0.643486366619926
