omitted_subject	estimate	p
5	1.09805922949039	0.00752298817831314
8	1.1657969262871	0.00277808370206765
9	1.19039537779779	0.00235857788497055
10	1.17360066968725	0.00225822318986393
11	1.20239171154521	0.00255508025477283
19	1.1955268015759	0.00231989626853857
23	1.19378661120229	0.00251080403905566
27	1.15478599887173	0.00458407583808181
31	1.10135547119989	0.00152235766326512
33	1.21217990089532	0.00229338299404709
36	1.26326041235713	0.000955651960629492
38	1.1705481188292	0.00591278175052174
43	1.34593387965922	0.000296239001384914
45	1.27964151189341	0.00201804127657125
46	1.300078240047	0.000676554969137175
48	1.18706621375021	0.00238471559121091
53	1.23642787190904	0.00149643593213586
57	1.07445264300293	0.00968699677240898
60	1.18150283108427	0.00325736444133377
65	1.16571210719451	0.00355488689869129
66	1.18836926799231	0.00265114759644709
67	1.23322934309827	0.00151408741141035
72	1.14381089139537	0.00492097086213688
