program	model	estimate	se	lower	upper	p	n	df
MATURE_COLONOCYTE6_EXPLORATORY	primary_baseline_inflammation	0.400823143047083	0.53644721380954	-0.701859897216373	1.50350618331054	0.461658603128432	32	26
MATURE_COLONOCYTE6_EXPLORATORY	mandatory_no_baseline	0.266961412651317	0.658748838823329	-1.08467955754234	1.61860238284498	0.688483170432451	32	27
MATURE_COLONOCYTE6_EXPLORATORY	without_inflammation	0.960774058911214	0.602804170197768	-0.27607793296214	2.19762605078457	0.122612432535599	32	27
MATURE_COLONOCYTE6_EXPLORATORY	IFX_only	0.0514176161650733	0.623266628658391	-1.25309442992691	1.35592966225706	0.935114431680331	24	19
