subject	leverage	cooks_distance	residual	studentized_residual
5	0.297803177986691	0.0495777687481731	-0.37222571261951	-0.673920543250587
8	0.101538538246427	0.0162970069863736	-0.467634572658741	-0.750709805059231
9	0.187763549490567	0.0201662158177156	-0.345826064999502	-0.580313045319533
10	0.0927731090615457	0.0287950364957004	-0.656647600125582	-1.06503843520895
11	0.077395419370934	0.000474925731655948	0.0938943616139877	0.146558644651105
19	0.196982009925966	0.0158295817063204	-0.295743629080615	-0.49790190862685
23	0.0915017516203164	5.04293792128616e-05	-0.0277089383953205	-0.0435613662899901
27	0.523166502480459	0.0358858891933862	-0.162247246106859	-0.353276810299664
31	0.0813817806486563	0.108432011607647	-1.37758658131882	-2.49962584231736
33	0.183301175381781	0.00824623570615454	-0.225048365740008	-0.374586238255888
36	0.0888118026079643	0.0581802513196761	0.958140560587344	1.6084492979472
38	0.23200055587876	0.00181895840434922	0.0883479471211361	0.151151413942539
43	0.246408262196294	0.38445049644679	1.2229181597856	2.43335498809264
45	0.211122854251724	0.035935065763681	0.422833762704533	0.723623290689917
46	0.208998816789217	0.196031189560791	-0.995259869102497	-1.82535538845428
48	0.153165779167948	0.0187994554794414	-0.385441833223093	-0.634577689949964
53	0.0753154735495875	0.0252054374778721	0.694971972451149	1.12000545337047
57	0.242527692179926	0.0455753390426429	0.426598901626284	0.745699473583649
60	0.12845697157751	0.00108652461577705	0.104135417939038	0.167267695190608
65	0.127213936408974	0.00497535184745529	0.224244108787241	0.360955791798994
66	0.235727446721959	0.00270002932533784	0.106266435574708	0.182302785325183
67	0.0720652117819633	0.0241791844127105	0.698303361385425	1.12363945205035
72	0.144578182674829	0.00857888299888821	0.270715423794095	0.440936977440443
