program	model	estimate	se	lower	upper	p	n	df	rank	raw_condition	standardized_condition	max_VIF	max_leverage
MATURE_COLONOCYTE6_EXPLORATORY	primary_baseline_inflammation	0.400823143047083	0.428830244784243	-0.480650049287357	1.28229633538152	0.358548763461796	32	26	6	100.553011372458	2.68537660826452	2.22062331677165	0.525744133065648
MATURE_COLONOCYTE6_EXPLORATORY	mandatory_no_baseline	0.266961412651317	0.492469945669525	-0.743503450322802	1.27742627562544	0.592205013991503	32	27	5	5.4405312495536	2.25950876742896	1.80691953479999	0.507181059308181
MATURE_COLONOCYTE6_EXPLORATORY	without_inflammation	0.960774058911214	0.501413275017314	-0.0680410001376331	1.98958911796006	0.0659919655815373	32	27	5	99.7630520528713	2.57687271347746	2.13012041268793	0.301666956399006
MATURE_COLONOCYTE6_EXPLORATORY	IFX_only	0.0514176161650733	0.467027742388202	-0.92608268272944	1.02891791505959	0.913488272054682	24	19	5	83.5973319840878	1.49463716605435	1.13829672210508	0.622569237350877
