branch	metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	se	lower	upper	p_OLS	se_HC3	lower_HC3	upper_HC3	p_HC3	p_exact_permutation	BH_two_main
exclude_predicted_doublets::all_fixed::threshold10	delta_ct_logit_epi	19	6	13	-0.138807096013115	0.0494265088163854	-0.188233604829501	0.268984910306025	-0.75574215879525	0.379274949136249	0.493522579959731	0.299240074941032	-0.819574976452098	0.443107766793097	0.537685453440656	0.490269792127377	NA
exclude_predicted_doublets::all_fixed::threshold10	delta_ct_logit_all	19	6	13	0.641160114701904	-0.213685548462615	0.854845663164519	0.473906372723356	-0.145009384441699	1.85470071077074	0.0890078963268678	0.511777686800761	-0.224910872835226	1.93460219916426	0.113158172123674	0.0896358543417367	NA
exclude_predicted_doublets::all_fixed::threshold10	delta_ct_state_score	18	6	12	1.76825296330389	-0.126618289263429	1.89487125256732	0.956956439665433	-0.133785775003335	3.92352828013798	0.0651575034026693	0.826424299889199	0.142929999826992	3.64681250530765	0.0357438451693175	0.063887093298858	NA
exclude_predicted_doublets::all_fixed::threshold10	delta_epi_score	19	6	13	1.18794679901817	-0.165930470759807	1.35387726977798	0.764696675430682	-0.259491688363022	2.96724622791898	0.0945768444746323	0.588132304777726	0.113026571330918	2.59472796822504	0.0342503819736928	0.0944641014300457	NA
exclude_predicted_doublets::all_fixed::threshold10	composition_contribution	18	6	12	-0.107675472752604	0.125935601030644	-0.233611073783248	0.138261317345554	-0.526711973101399	0.0594898255349026	0.11048533430842	0.131864430584632	-0.513151178958403	0.0459290313919068	0.0955027017127141	0.109297565179918	NA
exclude_predicted_doublets::all_fixed::threshold10	within_state_contribution	18	6	12	0.690522764329275	-0.265562858733582	0.956085623062858	0.562423496108756	-0.236198926744638	2.14837017287035	0.108496027447061	0.488103146870191	-0.0786468245538294	1.99081807067955	0.0678046058846222	0.108058608058608	NA
exclude_predicted_doublets::all_fixed::threshold10	total_epi_linear_change	18	6	12	0.582847291576672	-0.139627257702938	0.72247454927961	0.635091055986401	-0.623858345793984	2.0688074443532	0.272040318032442	0.545187290978206	-0.433270877933168	1.87821997649239	0.20372312085777	0.270038784744667	NA
exclude_predicted_doublets::v31_only::threshold10	delta_ct_logit_epi	15	6	9	-0.138807096013115	0.0817992248723403	-0.220606320885455	0.275841660321678	-0.816525997991064	0.375313356220153	0.438221710070467	0.309535526934566	-0.889317171336585	0.448104529565674	0.488626475372976	0.433966033966034	NA
exclude_predicted_doublets::v31_only::threshold10	delta_ct_logit_all	15	6	9	0.641160114701904	-0.155331434304955	0.796491549006859	0.542427537423976	-0.375351901246197	1.96833499925991	0.165777386295221	0.572736665880578	-0.440830792368544	2.03381389038226	0.187671304875489	0.166633366633367	NA
exclude_predicted_doublets::v31_only::threshold10	delta_ct_state_score	14	6	8	1.76825296330389	-0.231983369085037	2.00023633238893	1.18818101424718	-0.588587705419844	4.5890603701977	0.118101333062911	1.1436803195274	-0.491629020835287	4.49210168561314	0.10580747016116	0.119214119214119	NA
exclude_predicted_doublets::v31_only::threshold10	delta_epi_score	15	6	9	1.18794679901817	-0.182981375937653	1.37092817495582	0.869217551102723	-0.506902178093844	3.24875852800549	0.138764301367564	0.773674361765575	-0.300493666511378	3.04235001642303	0.0998213174276798	0.138861138861139	NA
exclude_predicted_doublets::v31_only::threshold10	composition_contribution	14	6	8	-0.107675472752604	0.0758726575104255	-0.183548130263029	0.142096049478298	-0.493148825911374	0.126052565385315	0.220779484052126	0.146445091514897	-0.502624574497479	0.13552831397142	0.233945977081763	0.216450216450216	NA
exclude_predicted_doublets::v31_only::threshold10	within_state_contribution	14	6	8	0.690522764329275	-0.388071215433607	1.07859397976288	0.643369410725405	-0.323187546541073	2.48037550606684	0.119480743937603	0.62557406745526	-0.284414824315751	2.44160278384152	0.110317448995219	0.119214119214119	NA
exclude_predicted_doublets::v31_only::threshold10	total_epi_linear_change	14	6	8	0.582847291576672	-0.312198557923182	0.895045849499853	0.706429904798824	-0.644132690336424	2.43422438933613	0.229193704450412	0.686157533615666	-0.599962987914783	2.39005468691449	0.216550372934139	0.226773226773227	NA
exclude_predicted_doublets::author_both::threshold10	delta_ct_logit_epi	17	4	13	-0.104927989517946	0.0387587810426561	-0.143686770560602	0.362770642479234	-0.916914091615393	0.62954055049419	0.697621847899886	0.460229171709215	-1.12464202945356	0.837268488332357	0.759181181594009	0.689915966386555	NA
exclude_predicted_doublets::author_both::threshold10	delta_ct_logit_all	17	4	13	1.241121750238	-0.186169190036442	1.42729094027444	0.533411865764756	0.29035046139396	2.56423141915492	0.0172772824124371	0.338939238740244	0.704859053889171	2.14972282665971	0.00075584384650148	0.0151260504201681	NA
exclude_predicted_doublets::author_both::threshold10	delta_ct_state_score	16	4	12	2.15378790342954	-0.0521174566109622	2.2059053600405	1.14440123105831	-0.248591165970099	4.6604018860511	0.0744473000182682	0.95201441260802	0.164037521172933	4.24777319890807	0.0361581148161969	0.078021978021978	NA
exclude_predicted_doublets::author_both::threshold10	delta_epi_score	17	4	13	1.42902691815383	-0.124344992358635	1.55337191051247	0.951687588170379	-0.475102166808167	3.5818459878331	0.123442164932479	0.634490117428422	0.200988238057487	2.90575558296744	0.0271360411403383	0.12563025210084	NA
exclude_predicted_doublets::author_both::threshold10	composition_contribution	16	4	12	-0.0813119128265555	0.107370248257321	-0.188682161083877	0.246433191659605	-0.717228790016495	0.339864467848741	0.456598192589491	0.207948372648353	-0.634687062514235	0.257322740346481	0.379574385127598	0.453846153846154	NA
exclude_predicted_doublets::author_both::threshold10	within_state_contribution	16	4	12	0.599214064395833	-0.0387995270486395	0.638013591444473	0.665099905915854	-0.788483832899235	2.06451101578818	0.353695184259783	0.575469621590579	-0.596245992244098	1.87227317513304	0.28624985201496	0.351098901098901	NA
exclude_predicted_doublets::author_both::threshold10	total_epi_linear_change	16	4	12	0.517902151569278	0.0685707212086821	0.449331430360596	0.727424011945895	-1.11083790693272	2.00950076765391	0.546688676816468	0.630937321868939	-0.903894538494415	1.80255739921561	0.488061947093749	0.543956043956044	NA
exclude_predicted_doublets::all_fixed::threshold20	delta_ct_logit_epi	19	6	13	-0.138807096013115	0.0494265088163854	-0.188233604829501	0.268984910306025	-0.75574215879525	0.379274949136249	0.493522579959731	0.299240074941032	-0.819574976452098	0.443107766793097	0.537685453440656	0.490269792127377	0.490269792127377
exclude_predicted_doublets::all_fixed::threshold20	delta_ct_logit_all	19	6	13	0.641160114701904	-0.213685548462615	0.854845663164519	0.473906372723356	-0.145009384441699	1.85470071077074	0.0890078963268678	0.511777686800761	-0.224910872835226	1.93460219916426	0.113158172123674	0.0896358543417367	NA
exclude_predicted_doublets::all_fixed::threshold20	delta_ct_state_score	16	6	10	1.76825296330389	-0.788034252579381	2.55628721588327	0.600917602063096	1.26744714244285	3.84512728932369	0.00080194193023619	0.638053286160417	1.1877990215442	3.92477541022234	0.00129967560449113	0.0004995004995005	0.000999000999000999
exclude_predicted_doublets::all_fixed::threshold20	delta_epi_score	19	6	13	1.18794679901817	-0.165930470759807	1.35387726977798	0.764696675430682	-0.259491688363022	2.96724622791898	0.0945768444746323	0.588132304777726	0.113026571330918	2.59472796822504	0.0342503819736928	0.0944641014300457	NA
exclude_predicted_doublets::all_fixed::threshold20	composition_contribution	16	6	10	-0.107675472752604	0.0337633903545496	-0.141438863107153	0.182805731496455	-0.533518162495825	0.250640436281519	0.451969312269486	0.16733530858863	-0.500337405386664	0.217459679172357	0.412188595023362	0.464035964035964	NA
exclude_predicted_doublets::all_fixed::threshold20	within_state_contribution	16	6	10	0.690522764329275	-0.792625629230303	1.48314839355958	0.523406434897076	0.360553239621814	2.60574354749734	0.0132710445059633	0.489260178368993	0.433789676065473	2.53250711105369	0.00897477281127019	0.0156093906093906	NA
exclude_predicted_doublets::all_fixed::threshold20	total_epi_linear_change	16	6	10	0.582847291576672	-0.758862238875754	1.34170953045243	0.603636858830438	0.047037231296384	2.63638182960847	0.0432182340359225	0.556124065187201	0.148942038608183	2.53447702229667	0.0301320030073897	0.0447052947052947	NA
