metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	lower	upper	p_OLS	p_HC3	p_exact_permutation
delta_contamination_mean	16	6	10	0.06686954114982167	-0.048502206190181855	0.11537174734000352	-0.02056902201262434	0.2513125166926314	0.0901600255113569	0.17725993498405265	0.08953546453546453
delta_contamination_median	16	6	10	0.018702076335013043	-0.07454181751579572	0.09324389385080875	-0.07691966447749846	0.263407452179116	0.25948786701194193	0.30766848810755787	0.2606143856143856
delta_contamination_q90	16	6	10	0.1915059197486222	-0.09025431767981203	0.28176023742843415	-0.04859922151951962	0.612119696376388	0.08873541500434358	0.185446923272885	0.07642357642357642
