visit	program	model	method	evaluable	n	df	estimate	se	lower	upper	p	max_leverage	residual_sigma	reason	BH_across_six_descriptive
W6	UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	reference_descriptive	OLS	TRUE	27	23	0.205709650635841	0.343445210520756	-0.504760897869894	0.916180199141576	0.555054305752495	0.466412900601517	0.609660452158723	""	0.666065166902994
W6	UC_IA13_JAKSTAT_2024_gene_mean_proxy	reference_descriptive	OLS	TRUE	27	23	-0.709788579572515	0.474346384987048	-1.69104883885074	0.271471679705706	0.148159576524726	0.31688890604628	1.0021792326037	""	0.444478729574179
W6	HALLMARK_OXIDATIVE_PHOSPHORYLATION	reference_descriptive	OLS	TRUE	27	23	0.242551716979492	0.0943502474957228	0.0473733594525443	0.43773007450644	0.0170906007716888	0.314375846215994	0.193205309530001	""	0.102543604630133
W12	UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	reference_descriptive	OLS	TRUE	13	9	0.294208909532682	0.280318497390702	-0.339915587204525	0.928333406269889	0.321289047740523	0.546017093804797	0.413289301594337	""	0.481933571610784
W12	UC_IA13_JAKSTAT_2024_gene_mean_proxy	reference_descriptive	OLS	TRUE	13	9	-0.86917049589931	0.692133743949234	-2.43488580238841	0.696544810589788	0.240815077907669	0.833542693356197	1.01428077705286	""	0.481630155815338
W12	HALLMARK_OXIDATIVE_PHOSPHORYLATION	reference_descriptive	OLS	TRUE	13	9	0.00438148682470052	0.105834468524623	-0.235032714219215	0.243795687868617	0.967881344702418	0.853825004474571	0.156046904395509	""	0.967881344702418
