program	model	method	estimate	se	lower	upper	p	n	df	rank	standardized_condition	max_VIF	max_leverage	evaluable	BH_across_three_descriptive
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	reference_descriptive	OLS	0.627215215447123	0.230014339443341	0.145789670133372	1.10864076076087	0.0133896199376918	23	19	4	2.07026051161196	1.62897943943079	0.422563849621051	TRUE	0.0144049690935644
UC_IA13_JAKSTAT_2024_gene_mean_proxy	reference_descriptive	OLS	-0.883411885493234	0.237355038394783	-1.38020169028852	-0.386622080697946	0.00144572401594926	23	19	4	1.55244006288859	1.1852292106064	0.398611464864993	TRUE	0.00433717204784779
HALLMARK_OXIDATIVE_PHOSPHORYLATION	reference_descriptive	OLS	0.15639794148463	0.0580756412927621	0.0348442272836902	0.277951655685569	0.0144049690935644	23	19	4	2.94012438518248	2.67921477600847	0.365425612931105	TRUE	0.0144049690935644
