program	model	estimate	se	lower	upper	p	n	df
MATURE_COLONOCYTE6_EXPLORATORY	primary_baseline_inflammation	0.400823143047078	0.53644721380954	-0.701859897216377	1.50350618331053	0.461658603128437	32	26
MATURE_COLONOCYTE6_EXPLORATORY	mandatory_no_baseline	0.266961412651314	0.658748838823328	-1.08467955754234	1.61860238284497	0.688483170432455	32	27
MATURE_COLONOCYTE6_EXPLORATORY	without_inflammation	0.960774058911216	0.602804170197767	-0.276077932962139	2.19762605078457	0.122612432535598	32	27
MATURE_COLONOCYTE6_EXPLORATORY	IFX_only	0.0514176161650605	0.623266628658391	-1.25309442992692	1.35592966225704	0.935114431680347	24	19
