program	model	estimate	se	lower	upper	p	n	df	rank	raw_condition	standardized_condition	max_VIF	max_leverage
MATURE_COLONOCYTE6_EXPLORATORY	primary_baseline_inflammation	0.400823143047078	0.428830244784244	-0.480650049287364	1.28229633538152	0.358548763461803	32	26	6	100.553011372458	2.68537660826452	2.22062331677165	0.52574413306565
MATURE_COLONOCYTE6_EXPLORATORY	mandatory_no_baseline	0.266961412651314	0.492469945669527	-0.743503450322809	1.27742627562544	0.59220501399151	32	27	5	5.44053124955361	2.25950876742896	1.8069195348	0.507181059308183
MATURE_COLONOCYTE6_EXPLORATORY	without_inflammation	0.960774058911216	0.501413275017315	-0.0680410001376323	1.98958911796006	0.0659919655815371	32	27	5	99.7630520528712	2.57687271347745	2.13012041268793	0.301666956399005
MATURE_COLONOCYTE6_EXPLORATORY	IFX_only	0.0514176161650605	0.467027742388202	-0.926082682729453	1.02891791505957	0.913488272054703	24	19	5	83.5973319840877	1.49463716605436	1.13829672210508	0.62256923735088
