context	program	outcome	n	mean	se	lower	upper
GSE92415_W6	CANDIDATE6	No	33	0.15147272727272765	0.19027590140565273	-0.23610660075737322	0.5390520553028285
GSE92415_W6	CANDIDATE6	Yes	32	0.7768632812499997	0.1846024483615869	0.4003641055788446	1.1533624569211547
GSE92415_W6	COMMON194_INFLAMMATION	No	33	-0.059972666056738226	0.04760990883443825	-0.15695087684070116	0.037005544727224705
GSE92415_W6	COMMON194_INFLAMMATION	Yes	32	-0.19612975308357944	0.03578022016579694	-0.2691039932267462	-0.12315551294041266
GSE73661_IFX_W4W6	CANDIDATE6	No	15	0.31574363949999174	0.29390143633246485	-0.31461224870580085	0.9460995277057843
GSE73661_IFX_W4W6	CANDIDATE6	Yes	8	1.53335605681251	0.08666648852125784	1.328422376254756	1.738289737370264
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	No	15	-0.2298237550013173	0.09925076803696334	-0.44269548105261414	-0.01695202895002046
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	Yes	8	-0.45377621606045837	0.09025271540575863	-0.6671899756810169	-0.24036245643989984
GSE73661_VDZ_W6	CANDIDATE6	No	21	0.3086150073650743	0.26244629203348085	-0.23883836468722908	0.8560683794173777
GSE73661_VDZ_W6	CANDIDATE6	Yes	6	0.7649694468333316	0.20584831052117664	0.23581951891117126	1.2941193747554918
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	No	21	-0.12434192105964853	0.09217367254507491	-0.31661283278892793	0.06792899066963085
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	Yes	6	-0.21711082411755514	0.09406797276604177	-0.45892024622507366	0.024698597989963378
GSE73661_VDZ_W12	CANDIDATE6	No	10	-0.39193507121667714	0.6138646757981712	-1.780593444562308	0.9967233021289537
GSE73661_VDZ_W12	CANDIDATE6	Yes	3	1.3577653549444333	1.0387218743021607	-3.1114941529722353	5.827024862861102
GSE73661_VDZ_W12	COMMON194_INFLAMMATION	No	10	-0.0580381783873718	0.08762810677645931	-0.25626672779418513	0.14019037101944154
GSE73661_VDZ_W12	COMMON194_INFLAMMATION	Yes	3	-0.19770123238287005	0.08327077555702696	-0.5559864621416668	0.16058399737592674
