program	gene	mean_delta_remission	mean_delta_nonremission	change_contrast	mean_logCPM
CT_MARKERS_EXCLUDING_CANDIDATE6	ATP1B3	-0.5984680220168311	0.247241321245015	-0.8457093432618461	7.8103436225570775
CT_MARKERS_EXCLUDING_CANDIDATE6	CEACAM7	-1.4375040204382687	0.11610786728536562	-1.5536118877236345	9.495982605292884
CT_MARKERS_EXCLUDING_CANDIDATE6	FABP1	-0.2558808490256391	0.08443568007466969	-0.3403165291003088	12.626836751952387
CT_MARKERS_EXCLUDING_CANDIDATE6	FTH1	0.24240956383479242	0.30451103765073434	-0.062101473815941916	11.950318462302851
CT_MARKERS_EXCLUDING_CANDIDATE6	FXYD3	-0.026030440985015762	0.05767293639566384	-0.08370337738067961	8.785636656008654
CT_MARKERS_EXCLUDING_CANDIDATE6	IFI27	-1.1989139216991977	0.5538713411815095	-1.7527852628807072	10.360738383751908
CT_MARKERS_EXCLUDING_CANDIDATE6	MYL12B	-0.7186200896259932	0.32273496668707236	-1.0413550563130656	9.746084699796247
CT_MARKERS_EXCLUDING_CANDIDATE6	MYL6	-0.1728286983799888	0.11948153221467836	-0.29231023059466715	10.3559995676971
CT_MARKERS_EXCLUDING_CANDIDATE6	NEAT1	-0.473354552156562	0.0006911942120699233	-0.47404574636863195	11.677016577153111
CT_MARKERS_EXCLUDING_CANDIDATE6	PHGR1	-0.4063913096472533	-0.16295973047252746	-0.24343157917472583	13.639207680113552
CT_MARKERS_EXCLUDING_CANDIDATE6	PKIB	-0.16938712155764749	-0.3460250870284059	0.1766379654707584	7.405119733739815
CT_MARKERS_EXCLUDING_CANDIDATE6	PLAC8	-1.8050843376356742	0.3762796747631707	-2.181364012398845	9.495644933997275
CT_MARKERS_EXCLUDING_CANDIDATE6	PRDX6	0.3917281870136336	0.02721390058715114	0.3645142864264825	8.311168527661081
CT_MARKERS_EXCLUDING_CANDIDATE6	SLC51B	-0.7088366178622948	-0.09102397568839056	-0.6178126421739042	6.081981594343187
CT_MARKERS_EXCLUDING_CANDIDATE6	TMIGD1	1.2006989337665097	-0.35319986206830745	1.5538987958348172	4.887501032887789
CT_MARKERS_EXCLUDING_CANDIDATE6	TMSB4X	-0.5513602480361423	0.19109380240483492	-0.7424540504409771	11.716500110960572
GOBP_INTESTINAL_ABSORPTION	ABCG5	-0.06442186712474463	-0.10854521556385688	0.04412334843911225	-1.1031887447538344
GOBP_INTESTINAL_ABSORPTION	ABCG8	0.4434276999443573	-0.41914857050858856	0.8625762704529458	-0.7607366481617632
GOBP_INTESTINAL_ABSORPTION	ACO1	-0.1162679551714192	-0.07029737908657005	-0.045970576084849155	4.470656757887666
GOBP_INTESTINAL_ABSORPTION	ADRA2A	-0.6261462740344932	0.11365204251804946	-0.7397983165525427	3.5546741799272787
GOBP_INTESTINAL_ABSORPTION	AKR1C1	0.48882494834635054	-0.6955913804583052	1.1844163288046556	0.9404207184062818
GOBP_INTESTINAL_ABSORPTION	APOA1	-0.3633564106770186	-0.283025269285034	-0.0803311413919846	-1.055159578065315
GOBP_INTESTINAL_ABSORPTION	APOA2	-0.25791587503202484	-0.24062542395728653	-0.01729045107473831	-1.5063897837704017
GOBP_INTESTINAL_ABSORPTION	APOA4	-0.25791587503202484	-0.21420938227860056	-0.04370649275342428	-1.5063897837704017
GOBP_INTESTINAL_ABSORPTION	CD36	-0.3372960582989067	0.11301826530530848	-0.4503143236042152	-0.7442365723123884
GOBP_INTESTINAL_ABSORPTION	CEL	-0.3599437232385316	0.09366445945125963	-0.4536081826897912	-0.20009461921985078
GOBP_INTESTINAL_ABSORPTION	CLDN15	1.3780685515940514	-0.7088086642004388	2.08687721579449	2.88595529889035
GOBP_INTESTINAL_ABSORPTION	CLDN2	1.446088208805616	-0.1786662233738125	1.6247544321794285	-0.5288191078035624
GOBP_INTESTINAL_ABSORPTION	CYP8B1	-0.25791587503202484	-0.29345750731465836	0.03554163228263352	-1.5304043671146614
GOBP_INTESTINAL_ABSORPTION	ENPP7	-0.25791587503202484	-0.29345750731465836	0.03554163228263352	-1.5304043671146614
GOBP_INTESTINAL_ABSORPTION	EPB41	0.2993185060284885	-0.019335388811285513	0.31865389483977397	4.731970856757316
GOBP_INTESTINAL_ABSORPTION	EZR	-0.5077807748715275	0.22169472244235505	-0.7294754973138826	9.01586510625023
GOBP_INTESTINAL_ABSORPTION	F11R	-0.7225959541268233	0.2082078875044049	-0.9308038416312282	6.319041759518824
GOBP_INTESTINAL_ABSORPTION	FABP2	-0.44749989410169516	0.1283164554621871	-0.5758163495638823	5.8112320534868545
GOBP_INTESTINAL_ABSORPTION	FOLH1	0.12907214078253557	-0.03608477128272751	0.16515691206526306	-0.9888037936583097
GOBP_INTESTINAL_ABSORPTION	GCNT3	-1.2273089294932367	0.41667744499157233	-1.6439863744848089	7.834285686750995
GOBP_INTESTINAL_ABSORPTION	HAMP	0.18267997059598495	-0.13496125724254276	0.3176412278385277	-1.2030582715702072
GOBP_INTESTINAL_ABSORPTION	HEPH	-0.84556054597122	0.18128031911696948	-1.0268408650881895	6.658311059841523
GOBP_INTESTINAL_ABSORPTION	IREB2	0.1676302536430391	-0.21782429423197094	0.38545454787501005	4.4916473213667345
GOBP_INTESTINAL_ABSORPTION	KCNQ1	0.07017314359258835	0.009557713199061669	0.06061543039352668	4.407501214468738
GOBP_INTESTINAL_ABSORPTION	LDLR	-0.17767200613223344	0.16832704341267815	-0.34599904954491156	6.708136566176192
GOBP_INTESTINAL_ABSORPTION	LEP	-0.34596934729431134	-0.13496125724254276	-0.21100809005176857	-1.458360617081882
GOBP_INTESTINAL_ABSORPTION	LIMA1	-0.38788874633491005	0.026126722162262007	-0.4140154684971721	7.877413257032222
GOBP_INTESTINAL_ABSORPTION	LPCAT3	0.22081279378335864	-0.5895281279202966	0.8103409217036552	4.606851941881921
GOBP_INTESTINAL_ABSORPTION	MOGAT2	-0.30264432280652726	-0.20488152468529872	-0.09776279812122854	5.005237505063829
GOBP_INTESTINAL_ABSORPTION	NPC1	-0.009528633495515554	0.023483778526817288	-0.03301241202233284	3.9082468268804216
GOBP_INTESTINAL_ABSORPTION	NPC1L1	-0.2138891389008816	-0.3198735489933443	0.1059844100924627	-1.434346033737622
GOBP_INTESTINAL_ABSORPTION	PLS1	-1.2526172927886574	0.14463858568243362	-1.3972558784710911	8.116144550242536
GOBP_INTESTINAL_ABSORPTION	PNLIP	-0.25791587503202484	-0.29345750731465836	0.03554163228263352	-1.5304043671146614
GOBP_INTESTINAL_ABSORPTION	PRAP1	0.5423580885255517	-0.4545565789285563	0.996914667454108	4.272320904400322
GOBP_INTESTINAL_ABSORPTION	SCARB1	0.0003603390344729049	-0.4420047137404068	0.4423650527748797	2.817958819393315
