omitted_gene	estimate	se	lower	upper	p	df	n
AQP8	0.520430332532051	0.231886139141024	0.0568965451943051	0.983964119869798	0.0283898407217904	62	65
HMGCS2	0.639275488782052	0.267198460297169	0.105153377252836	1.17339760031127	0.0197773580925846	62	65
GUCA2A	0.667750548878205	0.281354847283224	0.105330222979765	1.23017087477665	0.0207413383308009	62	65
CA2	0.729115452724359	0.284504593358531	0.160398874135493	1.29783203131323	0.0128263884914243	62	65
SLC26A3	0.782493032852564	0.293221152301247	0.196352301210666	1.36863376449446	0.00970814205343154	62	65
MS4A12	0.775809963942308	0.282883985696824	0.21033293390948	1.34128699397514	0.00795991348363406	62	65
