program	n	pearson_r	lower	upper	p	BH_n3
CT_MARKERS_EXCLUDING_CANDIDATE6	16	-0.008463439378686294	-0.5020699015217285	0.4893022610014773	0.975183527538241	0.975183527538241
GOBP_INTESTINAL_ABSORPTION	16	-0.014507939787812674	-0.5065776130685806	0.48469070964276784	0.9574716710589848	0.975183527538241
GOBP_BRUSH_BORDER_ASSEMBLY	16	0.08212570483862153	-0.43113916605427205	0.5552345440938892	0.7623728867731201	0.975183527538241
