program	model	method	estimate	se	lower	upper	p	n	df	rank	standardized_condition	max_VIF	max_leverage	evaluable
MATURE_COLONOCYTE6_EXPLORATORY	adjusted_support	OLS	1.19469104375607	0.330612664120912	0.502710785058988	1.88667130245316	0.00185042898413593	23	19	4	1.76273135175746	1.35149673343787	0.523166502480458	TRUE
MATURE_COLONOCYTE6_EXPLORATORY	adjusted_support	HC3	1.19469104375607	0.298619435688867	0.56967338174544	1.81970870576671	0.000764943217130123	23	19	4	1.76273135175746	1.35149673343787	0.523166502480458	TRUE
MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_baseline	OLS	0.826709705508394	0.339033609558446	0.119497988574868	1.53392142244192	0.0242033947006932	23	20	3	1.37247947855623	1.1036425094892	0.257928868886697	TRUE
MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_baseline	HC3	0.826709705508394	0.392629891972998	0.0076981025487739	1.64572130846801	0.0480786547614369	23	20	3	1.37247947855623	1.1036425094892	0.257928868886697	TRUE
MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_inflammation	OLS	1.59410273775317	0.428854501399218	0.699527923638973	2.48867755186737	0.00136182370034481	23	20	3	1.60334740350185	1.23992963424288	0.342875116038875	TRUE
MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_inflammation	HC3	1.59410273775317	0.462442921191238	0.629463707701398	2.55874176780494	0.00254843871748505	23	20	3	1.60334740350185	1.23992963424288	0.342875116038875	TRUE
