Package	Version	LibPath	Built
callr	3.7.6	/usr/local/lib/R/site-library	4.3.3
car	3.1-5	/usr/local/lib/R/site-library	4.3.3
carData	3.0-6	/usr/local/lib/R/site-library	4.3.3
caret	7.0-1	/usr/local/lib/R/site-library	4.3.3
caTools	1.18.3	/usr/local/lib/R/site-library	4.3.3
CellChat	2.2.0.9001	/usr/local/lib/R/site-library	4.3.3
celldex	1.12.0	/usr/local/lib/R/site-library	4.3.3
cellranger	1.1.0	/usr/local/lib/R/site-library	4.3.3
ChAMP	2.32.0	/usr/local/lib/R/site-library	4.3.3
ChAMPdata	2.34.0	/usr/local/lib/R/site-library	4.3.3
checkmate	2.3.4	/usr/local/lib/R/site-library	4.3.3
chromote	0.5.1	/usr/local/lib/R/site-library	4.3.3
chron	2.3-62	/usr/local/lib/R/site-library	4.3.3
CIMLR	1.0.0	/usr/local/lib/R/site-library	4.3.3
circlize	0.4.18	/usr/local/lib/R/site-library	4.3.3
ClassDiscovery	3.4.5	/usr/local/lib/R/site-library	4.3.3
classInt	0.4-11	/usr/local/lib/R/site-library	4.3.3
cli	3.6.6	/usr/local/lib/R/site-library	4.3.3
clipr	0.8.0	/usr/local/lib/R/site-library	4.3.3
clock	0.7.4	/usr/local/lib/R/site-library	4.3.3
clue	0.3-68	/usr/local/lib/R/site-library	4.3.3
clusterProfiler	4.10.1	/usr/local/lib/R/site-library	4.3.3
clusterRepro	0.9	/usr/local/lib/R/site-library	4.3.3
cmprsk	2.2-12	/usr/local/lib/R/site-library	4.3.3
CMScaller	2.0.1	/usr/local/lib/R/site-library	4.3.3
coca	1.1.0	/usr/local/lib/R/site-library	4.3.3
coda	0.19-4.1	/usr/local/lib/R/site-library	4.3.3
coin	1.4-3	/usr/local/lib/R/site-library	4.3.3
collapse	2.1.6	/usr/local/lib/R/site-library	4.3.3
coloc	5.2.3	/usr/local/lib/R/site-library	4.3.3
colorspace	2.1-2	/usr/local/lib/R/site-library	4.3.3
combinat	0.0-8	/usr/local/lib/R/site-library	4.3.3
ComICS	1.0.4	/usr/local/lib/R/site-library	4.3.3
commonmark	2.0.0	/usr/local/lib/R/site-library	4.3.3
ComplexHeatmap	2.18.0	/usr/local/lib/R/site-library	4.3.3
CompQuadForm	1.4.4	/usr/local/lib/R/site-library	4.3.3
conflicted	1.2.0	/usr/local/lib/R/site-library	4.3.3
ConsensusClusterPlus	1.66.0	/usr/local/lib/R/site-library	4.3.3
ConsensusTME	0.0.1.9000	/usr/local/lib/R/site-library	4.3.3
copykat	1.1.0	/usr/local/lib/R/site-library	4.3.3
corpcor	1.6.10	/usr/local/lib/R/site-library	4.3.3
correlation	0.8.8	/usr/local/lib/R/site-library	4.3.3
corrplot	0.95	/usr/local/lib/R/site-library	4.3.3
covr	3.6.5	/usr/local/lib/R/site-library	4.3.3
cowplot	1.2.0	/usr/local/lib/R/site-library	4.3.3
