Package	Version	LibPath
corpcor	1.6.10	/usr/local/lib/R/site-library
correlation	0.8.8	/usr/local/lib/R/site-library
corrplot	0.95	/usr/local/lib/R/site-library
covr	3.6.5	/usr/local/lib/R/site-library
cowplot	1.2.0	/usr/local/lib/R/site-library
coxme	2.2-22	/usr/local/lib/R/site-library
cpp11	0.5.4	/usr/local/lib/R/site-library
crayon	1.5.3	/usr/local/lib/R/site-library
credentials	2.0.3	/usr/local/lib/R/site-library
crosstalk	1.2.2	/usr/local/lib/R/site-library
curl	7.0.0	/usr/local/lib/R/site-library
data.table	1.18.2.1	/usr/local/lib/R/site-library
data.tree	1.2.0	/usr/local/lib/R/site-library
datawizard	1.3.0	/usr/local/lib/R/site-library
DBI	1.3.0	/usr/local/lib/R/site-library
dbplyr	2.5.2	/usr/local/lib/R/site-library
decoupleR	2.8.0	/usr/local/lib/R/site-library
DelayedArray	0.28.0	/usr/local/lib/R/site-library
DelayedMatrixStats	1.24.0	/usr/local/lib/R/site-library
deldir	2.0-4	/usr/local/lib/R/site-library
dendextend	1.19.1	/usr/local/lib/R/site-library
DEoptimR	1.1-4	/usr/local/lib/R/site-library
depmap	1.16.0	/usr/local/lib/R/site-library
Deriv	4.2.0	/usr/local/lib/R/site-library
desc	1.4.3	/usr/local/lib/R/site-library
DESeq2	1.42.1	/usr/local/lib/R/site-library
deSolve	1.42	/usr/local/lib/R/site-library
devtools	2.5.0	/usr/local/lib/R/site-library
diagram	1.6.5	/usr/local/lib/R/site-library
DiagrammeR	1.0.11	/usr/local/lib/R/site-library
DiceKriging	1.6.1	/usr/local/lib/R/site-library
dichromat	2.0-0.1	/usr/local/lib/R/site-library
diffobj	0.3.6	/usr/local/lib/R/site-library
digest	0.6.39	/usr/local/lib/R/site-library
diptest	0.77-2	/usr/local/lib/R/site-library
dir.expiry	1.10.0	/usr/local/lib/R/site-library
DirichletReg	0.7-2	/usr/local/lib/R/site-library
distributional	0.7.0	/usr/local/lib/R/site-library
dlm	1.1-6.1	/usr/local/lib/R/site-library
DMRcate	2.16.1	/usr/local/lib/R/site-library
DMwR	0.4.1	/usr/local/lib/R/site-library
DNAcopy	1.76.0	/usr/local/lib/R/site-library
