program	omitted_gene	model	n	remission	estimate	se	lower	upper	p	df	max_leverage	evaluable	reason
GOBP_INTESTINAL_ABSORPTION	ENPP7	baseline_ANCOVA	16	6	-0.10244351540714769	0.19066377129802012	-0.5143475508423803	0.30946052002808494	0.6001374220782149	13.0	0.34639352802786816	True	
GOBP_INTESTINAL_ABSORPTION	EPB41	baseline_ANCOVA	16	6	-0.11393786360410962	0.20065275426669618	-0.5474217847548106	0.31954605754659143	0.5798217558910742	13.0	0.34583364698732966	True	
GOBP_INTESTINAL_ABSORPTION	EZR	baseline_ANCOVA	16	6	-0.09686045922532882	0.19532876858145007	-0.5188426085741675	0.32512169012350994	0.6282536795391205	13.0	0.36619919088028585	True	
GOBP_INTESTINAL_ABSORPTION	F11R	baseline_ANCOVA	16	6	-0.0885143084108041	0.19646995456013455	-0.5129618401791876	0.3359332233575794	0.6597551302873769	13.0	0.37276798083594775	True	
GOBP_INTESTINAL_ABSORPTION	FABP2	baseline_ANCOVA	16	6	-0.09653971151393381	0.19134402184208973	-0.5099133389031162	0.31683391587524856	0.6223287673981691	13.0	0.37127332791856693	True	
GOBP_INTESTINAL_ABSORPTION	FOLH1	baseline_ANCOVA	16	6	-0.09198512939961578	0.1891913929103683	-0.5007082847157123	0.31673802591648065	0.6349175370727004	13.0	0.3622507975502849	True	
GOBP_INTESTINAL_ABSORPTION	GCNT3	baseline_ANCOVA	16	6	-0.0730629727633132	0.19070550456799254	-0.48505716744692595	0.33893122192029956	0.7078228012350852	13.0	0.3824443698540412	True	
GOBP_INTESTINAL_ABSORPTION	HAMP	baseline_ANCOVA	16	6	-0.11213123033435313	0.18866379442584358	-0.5197145784212851	0.29545211775257885	0.5624832073813736	13.0	0.3430312457422924	True	
GOBP_INTESTINAL_ABSORPTION	HEPH	baseline_ANCOVA	16	6	-0.08537703868381397	0.19620559941946805	-0.5092534658921268	0.33849938852449885	0.6705971381390321	13.0	0.3640619549344638	True	
GOBP_INTESTINAL_ABSORPTION	IREB2	baseline_ANCOVA	16	6	-0.109223947240921	0.19987194513581039	-0.5410210328185764	0.3225731383367344	0.5939987361849194	13.0	0.34671897912827554	True	
GOBP_INTESTINAL_ABSORPTION	KCNQ1	baseline_ANCOVA	16	6	-0.11339390415819839	0.20282805566497916	-0.5515772782681096	0.3247894699517129	0.5856205261564983	13.0	0.3547325472646816	True	
GOBP_INTESTINAL_ABSORPTION	LDLR	baseline_ANCOVA	16	6	-0.1060570774893631	0.1969105749879575	-0.5314565118194126	0.31934235684068635	0.5992612365411506	13.0	0.3637898181054665	True	
GOBP_INTESTINAL_ABSORPTION	LEP	baseline_ANCOVA	16	6	-0.09819490679935117	0.19081154587418642	-0.5104181897971556	0.3140283761984532	0.6154575108429479	13.0	0.3454895974708386	True	
GOBP_INTESTINAL_ABSORPTION	LIMA1	baseline_ANCOVA	16	6	-0.10023019285619739	0.19619766115622717	-0.5240894704894179	0.32362908477702307	0.6180114439358557	13.0	0.36121521764093323	True	
GOBP_INTESTINAL_ABSORPTION	LPCAT3	baseline_ANCOVA	16	6	-0.11788996300010657	0.2011838633753446	-0.5525212756222936	0.31674134962208045	0.5679229773058765	13.0	0.3571005456020132	True	
GOBP_INTESTINAL_ABSORPTION	MOGAT2	baseline_ANCOVA	16	6	-0.10061483287671091	0.19757979707859788	-0.5274600336355924	0.3262303678821705	0.6191199075193565	13.0	0.3465021667775886	True	
GOBP_INTESTINAL_ABSORPTION	NPC1	baseline_ANCOVA	16	6	-0.10396502149505893	0.19653790042664301	-0.5285593413837836	0.3206292983936657	0.6057327205294356	13.0	0.35595633895384204	True	
GOBP_INTESTINAL_ABSORPTION	NPC1L1	baseline_ANCOVA	16	6	-0.10466416261706657	0.19053925414241027	-0.5162991950921278	0.30697086985799465	0.5921072403748262	13.0	0.34495503104883296	True	
GOBP_INTESTINAL_ABSORPTION	PLS1	baseline_ANCOVA	16	6	-0.07693343077372927	0.19278719796608632	-0.49342485062694935	0.3395579890794908	0.696327859815919	13.0	0.36433598548901913	True	
GOBP_INTESTINAL_ABSORPTION	PNLIP	baseline_ANCOVA	16	6	-0.10244351540714769	0.19066377129801965	-0.5143475508423794	0.30946052002808394	0.600137422078214	13.0	0.3463935280278685	True	
GOBP_INTESTINAL_ABSORPTION	PRAP1	baseline_ANCOVA	16	6	-0.10607613953898887	0.19679826765210573	-0.5312329486207733	0.31908066954279557	0.5989901676078601	13.0	0.3717186584865527	True	
GOBP_INTESTINAL_ABSORPTION	SCARB1	baseline_ANCOVA	16	6	-0.11413363644372532	0.20018364781522108	-0.546604114720115	0.3183368418326644	0.578300622358857	13.0	0.33677737233910965	True	
