program	model	n	remission	estimate	se	lower	upper	p	df	max_leverage	evaluable	reason	BH_primary_n3	BH_context_n2
CT_MARKERS_EXCLUDING_CANDIDATE6	baseline_ANCOVA	16	6	-0.5762021020336241	0.3807778309558005	-1.3988225931064227	0.24641838903917446	0.1541491317248768	13.0	0.5061133573124872	True		0.3616843772905242	
CT_MARKERS_EXCLUDING_CANDIDATE6	unadjusted_change	16	6	-0.5084968839934922	0.4793549028888971	-1.5366108984977305	0.519617130510746	0.3067416950672315	14.0	0.16666666666666669	True		0.6636632864398126	
CT_MARKERS_EXCLUDING_CANDIDATE6	v31_ANCOVA	13	6	-0.5860325121064253	0.42221258986606125	-1.5267807873847425	0.354715763171892	0.1952808695977916	10.0	0.5545666341228621	True		0.36124455148268275	
CT_MARKERS_EXCLUDING_CANDIDATE6	inflammation_adjusted_ANCOVA	16	6	-0.30212920719399117	0.8739563502390983	-2.2063165156640845	1.6020581012761022	0.7355509397182118	12.0	0.5533839721207031	True		0.735550939718212	
GOBP_INTESTINAL_ABSORPTION	baseline_ANCOVA	16	6	-0.10262639705571486	0.19517897468516254	-0.5242849363660846	0.3190321422546549	0.6078758108077345	13.0	0.3538290161930323	True		0.6078758108077345	
GOBP_INTESTINAL_ABSORPTION	unadjusted_change	16	6	-0.0423201979028163	0.269039524154487	-0.6193525878331004	0.5347121920274679	0.8772536942956836	14.0	0.16666666666666669	True		0.8772536942956836	
GOBP_INTESTINAL_ABSORPTION	v31_ANCOVA	13	6	-0.11671658569838443	0.2659774840093242	-0.7093513515731176	0.47591818017634874	0.6701203383867761	10.0	0.41978175652020955	True		0.6701203383867761	
GOBP_INTESTINAL_ABSORPTION	inflammation_adjusted_ANCOVA	16	6	0.30600850457065915	0.21156307096857185	-0.15494782873946356	0.7669648378807818	0.17367077072769352	12.0	0.45688596965740164	True		0.5210123121830805	
GOBP_BRUSH_BORDER_ASSEMBLY	baseline_ANCOVA	16	6	-0.4986105674659931	0.4059487056148298	-1.375609427207912	0.37838829227592596	0.2411229181936828	13.0	0.55770588893859	True		0.3616843772905242	
GOBP_BRUSH_BORDER_ASSEMBLY	unadjusted_change	16	6	-0.3916814913854908	0.49550895369258735	-1.4544424990094318	0.6710795162384501	0.4424421909598751	14.0	0.16666666666666669	True		0.6636632864398126	
GOBP_BRUSH_BORDER_ASSEMBLY	v31_ANCOVA	13	6	-0.5976604727697726	0.47929681830593124	-1.6656003352706241	0.47027938973107875	0.2408297009884552	10.0	0.668518813462772	True		0.36124455148268275	
GOBP_BRUSH_BORDER_ASSEMBLY	inflammation_adjusted_ANCOVA	16	6	-0.36093061604531584	0.7890329734142552	-2.080085781550776	1.3582245494601444	0.6555303024255277	12.0	0.5584005601423746	True		0.735550939718212	
HALLMARK_E2F_TARGETS	baseline_ANCOVA	16	6	0.6794451806760144	0.25028623771047254	0.13873463758231408	1.220155723769715	0.01769184805246077	13.0	0.48296340882497946	True			0.03538369610492154
HALLMARK_E2F_TARGETS	unadjusted_change	16	6	0.6870659399377202	0.3704569905602872	-0.10748528186207529	1.4816171617375158	0.08482834405284033	14.0	0.16666666666666669	True			0.16965668810568066
HALLMARK_E2F_TARGETS	v31_ANCOVA	13	6	0.651787347517837	0.2983034932099923	-0.012874255386570499	1.3164489504222443	0.053790626624515725	10.0	0.49905152020553256	True			0.10758125324903145
HALLMARK_E2F_TARGETS	inflammation_adjusted_ANCOVA	16	6	0.5444148758949736	0.5323916578595275	-0.6155668986571703	1.7043966504471175	0.3266782458120713	12.0	0.5309819676992602	True			0.5932489564940426
COMMON194_INFLAMMATION	baseline_ANCOVA	16	6	-0.3830610585340023	0.24544554720329592	-0.9133139255803613	0.1471918085123567	0.1426056727004931	13.0	0.3164897144166008	True			0.1426056727004931
COMMON194_INFLAMMATION	unadjusted_change	16	6	-0.46228005568507446	0.32528887332164297	-1.1599553009131152	0.23539518954296623	0.17716752503103084	14.0	0.16666666666666669	True			0.17716752503103084
COMMON194_INFLAMMATION	v31_ANCOVA	13	6	-0.45298359843226693	0.29550726066675914	-1.1114148069679082	0.20544761010337437	0.15630494890556162	10.0	0.3440771124156843	True			0.15630494890556162
COMMON194_INFLAMMATION	inflammation_adjusted_ANCOVA	16	6	0.09026338209055784	0.16449291025042304	-0.2681358811523638	0.4486626453334795	0.5932489564940426	12.0	0.4631371520367332	True			0.5932489564940426
CANDIDATE6	baseline_ANCOVA	16	6	1.4423284005428236	0.6116364828225223	0.12096811390390405	2.763688687181743	0.034695034439822206	13.0	0.5228081030197287	True			
CANDIDATE6	unadjusted_change	16	6	2.5562872158832723	0.6380532861604171	1.1877990215442005	3.9247754102223444	0.0012996756044911313	14.0	0.16666666666666669	True			
CANDIDATE6	v31_ANCOVA	13	6	1.5765824180287167	1.0508723936492386	-0.7649071907409657	3.918072026798399	0.16444092109884653	10.0	0.6667612955322205	True			
CANDIDATE6	inflammation_adjusted_ANCOVA	16	6	1.3397969047936251	0.9905902061828518	-0.8185137453802773	3.4981075549675276	0.20114495503988009	12.0	0.6391107597839003	True			
