metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	lower	upper	p_OLS	p_HC3	p_exact_permutation	BH_negative_genes_n2	label	panel
delta_COL1A1_logCPM	16	6	10	-0.5587619672203702	0.2104847366153933	-0.7692467038357635	-2.2564908727598967	0.7179974650883694	0.2859731845099409	0.3468115265084364	0.2847152847152847	0.2847152847152847	COL1A1	negative_control
delta_PTPRC_logCPM	16	6	10	-1.1077575603862653	0.5890355595912854	-1.6967931199775506	-3.919769347707922	0.526183107752821	0.1238801359620835	0.1408272346212009	0.1238761238761238	0.2477522477522477	PTPRC	negative_control
delta_NegativeControl2_score	16	6	10	-0.8332597638033178	0.3997601481033393	-1.2330199119066572	-2.5911990345244496	0.1251592107111352	0.0718631780269152	0.044599079835397	0.0728021978021978		Negative-control mean	negative_control
delta_Candidate6_score	16	6	10	1.7682529633038904	-0.7880342525793814	2.5562872158832715	1.2674471424428544	3.845127289323688	0.0008019419302361	0.0012996756044911	0.0004995004995004		Candidate6	negative_control
delta_contamination_mean	16	6	10	0.0668695411498216	-0.0485022061901818	0.1153717473400035	-0.0205690220126243	0.2513125166926314	0.0901600255113569	0.1772599349840526	0.0895354645354645			contamination
delta_contamination_median	16	6	10	0.018702076335013	-0.0745418175157957	0.0932438938508087	-0.0769196644774984	0.263407452179116	0.2594878670119419	0.3076684881075578	0.2606143856143856			contamination
delta_contamination_q90	16	6	10	0.1915059197486222	-0.090254317679812	0.2817602374284341	-0.0485992215195196	0.612119696376388	0.0887354150043435	0.185446923272885	0.0764235764235764			contamination
